,,,,,,,,,,,,,,,Sumber,,,,,
37,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
38,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
39,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
40,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
41,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
42,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
43,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
44,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
45,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
46,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
47,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
48,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
49,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
50,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
51,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
52,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
53,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
54,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
55,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
56,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
57,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
58,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
59,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
60,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
61,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
62,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
63,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
64,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
65,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
66,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
67,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
68,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
69,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
70,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
71,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
72,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
73,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
74,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
75,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
76,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
77,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
78,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
79,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
80,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
81,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
82,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
83,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
84,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
85,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
86,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
87,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
88,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
89,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
90,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
91,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
92,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
93,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
94,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
95,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
96,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
97,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
98,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
99,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
100,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
101,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
102,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
103,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
104,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
105,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
106,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
107,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
108,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
109,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
110,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
111,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
112,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
113,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
114,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
115,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
116,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
117,,,,,,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,,
